127.0.0.1, 2017-02-26 18:45:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2017-02-26 18:45:38, GET, /auth/default/index, HTTP/1.1, 200, 0.026462
127.0.0.1, 2017-02-26 18:46:34, GET, /auth/default/index, HTTP/1.1, 200, 0.025598
127.0.0.1, 2017-02-26 18:46:35, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000514
127.0.0.1, 2017-02-26 18:46:56, GET, /auth/default/create_post, HTTP/1.1, 200, 0.397888
127.0.0.1, 2017-02-26 18:46:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000177
127.0.0.1, 2017-02-26 18:47:00, POST, /auth/default/create_post, HTTP/1.1, 200, 0.029964
127.0.0.1, 2017-02-26 18:47:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000176
127.0.0.1, 2017-02-26 18:47:02, GET, /auth/default/index, HTTP/1.1, 200, 0.020682
127.0.0.1, 2017-02-26 18:47:55, GET, /auth/default/edit_post/7, HTTP/1.1, 200, 0.021450
127.0.0.1, 2017-02-26 18:47:58, GET, /auth/default/index, HTTP/1.1, 200, 0.022319
127.0.0.1, 2017-02-26 20:39:00, GET, /auth/default/index, HTTP/1.1, 500, 0.203624
127.0.0.1, 2017-02-26 20:39:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000298
127.0.0.1, 2017-02-26 20:39:05, GET, /auth/default/index, HTTP/1.1, 500, 0.046964
127.0.0.1, 2017-02-26 20:39:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000370
127.0.0.1, 2017-02-26 20:39:08, GET, /auth/default/index, HTTP/1.1, 500, 0.049061
127.0.0.1, 2017-02-26 20:39:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000274
127.0.0.1, 2017-02-26 20:39:09, GET, /auth/default/index, HTTP/1.1, 500, 0.044224
127.0.0.1, 2017-02-26 20:39:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000199
127.0.0.1, 2017-02-26 20:39:16, GET, /auth/default/index, HTTP/1.1, 500, 0.042419
127.0.0.1, 2017-02-26 20:39:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000239
127.0.0.1, 2017-02-26 20:39:18, GET, /admin/default/ticket/auth/127.0.0.1.2017-02-26.20-39-16.4013d1bf-ffa2-4a71-bec0-4c9e2cd5a0fe, HTTP/1.1, 303, 0.011440
127.0.0.1, 2017-02-26 20:39:18, GET, /admin/default/index, HTTP/1.1, 200, 0.076808
127.0.0.1, 2017-02-26 20:39:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000242
127.0.0.1, 2017-02-26 20:39:21, POST, /admin/default/index, HTTP/1.1, 303, 0.032168
127.0.0.1, 2017-02-26 20:39:21, GET, /admin/default/ticket/auth/127.0.0.1.2017-02-26.20-39-16.4013d1bf-ffa2-4a71-bec0-4c9e2cd5a0fe, HTTP/1.1, 200, 0.061488
127.0.0.1, 2017-02-26 20:39:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000272
127.0.0.1, 2017-02-26 20:40:00, GET, /, HTTP/1.1, 303, 0.003711
127.0.0.1, 2017-02-26 20:40:00, GET, /welcome/default/index, HTTP/1.1, 500, 0.141555
127.0.0.1, 2017-02-26 20:40:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000291
127.0.0.1, 2017-02-26 20:40:03, GET, /admin/default/ticket/welcome/127.0.0.1.2017-02-26.20-40-00.689c8735-c4a9-4a94-a8ad-8daeb4787008, HTTP/1.1, 200, 0.436963
127.0.0.1, 2017-02-26 20:40:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000341
127.0.0.1, 2017-02-26 20:40:13, GET, /admin/default/ticket/welcome/127.0.0.1.2017-02-26.20-40-00.689c8735-c4a9-4a94-a8ad-8daeb4787008, HTTP/1.1, 200, 0.047218
127.0.0.1, 2017-02-26 20:40:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000252
127.0.0.1, 2017-02-26 20:40:14, GET, /admin/default/ticket/welcome/127.0.0.1.2017-02-26.20-40-00.689c8735-c4a9-4a94-a8ad-8daeb4787008, HTTP/1.1, 200, 0.043932
127.0.0.1, 2017-02-26 20:40:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000352
127.0.0.1, 2017-02-26 20:40:15, GET, /admin/default/ticket/welcome/127.0.0.1.2017-02-26.20-40-00.689c8735-c4a9-4a94-a8ad-8daeb4787008, HTTP/1.1, 200, 0.041930
127.0.0.1, 2017-02-26 20:40:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2017-02-26 20:43:28, GET, /welcome/default/index, HTTP/1.1, 500, 0.047100
127.0.0.1, 2017-02-26 20:43:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2017-02-26 20:43:30, GET, /welcome/default/index, HTTP/1.1, 500, 0.023804
127.0.0.1, 2017-02-26 20:43:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000254
127.0.0.1, 2017-02-26 20:43:31, GET, /welcome/default/index, HTTP/1.1, 500, 0.017159
127.0.0.1, 2017-02-26 20:43:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000185
127.0.0.1, 2017-02-26 20:43:35, GET, /admin/default/ticket/welcome/127.0.0.1.2017-02-26.20-43-31.a2aadd3f-5c6d-4aca-857e-4926dbd5386b, HTTP/1.1, 200, 0.085312
127.0.0.1, 2017-02-26 20:43:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
127.0.0.1, 2017-02-26 20:47:05, GET, /, HTTP/1.1, 303, 0.000538
127.0.0.1, 2017-02-26 20:47:05, GET, /welcome/default/index, HTTP/1.1, 500, 0.040911
127.0.0.1, 2017-02-26 20:47:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000279
127.0.0.1, 2017-02-26 20:47:34, GET, /, HTTP/1.1, 303, 0.000458
127.0.0.1, 2017-02-26 20:47:34, GET, /welcome/default/index, HTTP/1.1, 500, 0.028365
127.0.0.1, 2017-02-26 20:47:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000270
127.0.0.1, 2017-02-26 20:47:35, GET, /admin/default/ticket/welcome/127.0.0.1.2017-02-26.20-47-34.73b42054-45c4-41d7-873f-4c970fa0d67b, HTTP/1.1, 200, 0.069959
127.0.0.1, 2017-02-26 20:47:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000363
127.0.0.1, 2017-02-26 20:47:37, GET, /admin/default/index, HTTP/1.1, 303, 0.006220
127.0.0.1, 2017-02-26 20:47:37, GET, /admin/default/site, HTTP/1.1, 200, 0.063638
127.0.0.1, 2017-02-26 20:47:37, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.001241
127.0.0.1, 2017-02-26 20:47:37, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000515
127.0.0.1, 2017-02-26 20:47:38, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000479
127.0.0.1, 2017-02-26 20:47:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000421
127.0.0.1, 2017-02-26 20:47:41, POST, /admin/default/check_version, HTTP/1.1, 200, 3.540338
127.0.0.1, 2017-02-26 20:47:47, GET, /admin/default/uninstall/auth, HTTP/1.1, 200, 0.034021
127.0.0.1, 2017-02-26 20:47:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2017-02-26 20:47:50, POST, /admin/default/uninstall/auth, HTTP/1.1, 303, 0.303698
127.0.0.1, 2017-02-26 20:47:50, GET, /admin/default/site, HTTP/1.1, 200, 0.045708
127.0.0.1, 2017-02-26 20:47:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000269
127.0.0.1, 2017-02-26 20:48:52, POST, /admin/default/site, HTTP/1.1, 303, 0.123144
127.0.0.1, 2017-02-26 20:48:53, GET, /admin/default/site, HTTP/1.1, 200, 0.037444
127.0.0.1, 2017-02-26 20:48:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000692
127.0.0.1, 2017-02-26 20:49:52, GET, /auth/default/index, HTTP/1.1, 200, 0.079278
127.0.0.1, 2017-02-26 20:49:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000177
127.0.0.1, 2017-02-26 20:52:50, GET, /auth/default/index, HTTP/1.1, 500, 0.064372
127.0.0.1, 2017-02-26 20:52:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000197
127.0.0.1, 2017-02-26 20:52:53, GET, /admin/default/ticket/auth/127.0.0.1.2017-02-26.20-52-50.b8227869-5524-417b-ac36-6a534512bd7d, HTTP/1.1, 200, 0.078550
127.0.0.1, 2017-02-26 20:52:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000278
127.0.0.1, 2017-02-26 20:53:07, GET, /auth/default/index, HTTP/1.1, 500, 0.047571
127.0.0.1, 2017-02-26 20:53:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000277
127.0.0.1, 2017-02-26 20:53:08, GET, /auth/default/index, HTTP/1.1, 500, 0.042289
127.0.0.1, 2017-02-26 20:53:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000177
127.0.0.1, 2017-02-26 20:53:18, GET, /auth/default/index, HTTP/1.1, 200, 0.068360
127.0.0.1, 2017-02-26 20:53:18, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.001478
127.0.0.1, 2017-02-26 20:53:28, GET, /auth/default/user/login, HTTP/1.1, 200, 0.023916
127.0.0.1, 2017-02-26 20:53:30, GET, /auth/default/user/register, HTTP/1.1, 200, 0.018612
